Capacity,Voltage
3.5,2.5
3.492985972,2.651743784
3.485971944,2.720884173
3.478957916,2.769920377
3.471943888,2.8056504
3.46492986,2.824439041
3.457915832,2.850170802
3.450901804,2.873950474
3.443887776,2.905150572
3.436873747,2.925290102
3.429859719,2.94494909
3.422845691,2.962855733
3.415831663,2.979961667
3.408817635,2.996061848
3.401803607,3.011240793
3.394789579,3.025602273
3.387775551,3.039095546
3.380761523,3.051758395
3.373747495,3.063844939
3.366733467,3.075124804
3.359719439,3.084845514
3.352705411,3.093638809
3.345691383,3.10214859
3.338677355,3.11035878
3.331663327,3.118379291
3.324649299,3.126445975
3.317635271,3.134522767
3.310621242,3.141988631
3.303607214,3.148735314
3.296593186,3.15523608
3.289579158,3.161507136
3.28256513,3.160199985
3.275551102,3.166040776
3.268537074,3.171698302
3.261523046,3.177184407
3.254509018,3.182510937
3.24749499,3.18768974
3.240480962,3.192732659
3.233466934,3.197651543
3.226452906,3.202457321
3.219438878,3.207136588
3.21242485,3.211677963
3.205410822,3.216081985
3.198396794,3.220360746
3.191382766,3.224528226
3.184368737,3.22859359
3.177354709,3.232566002
3.170340681,3.236454624
3.163326653,3.240268619
3.156312625,3.24401715
3.149298597,3.247706323
3.142284569,3.251333199
3.135270541,3.254901359
3.128256513,3.258416907
3.121242485,3.261893911
3.114228457,3.265347774
3.107214429,3.26878553
3.100200401,3.272214164
3.093186373,3.275640664
3.086172345,3.279072523
3.079158317,3.282515495
3.072144289,3.285969103
3.065130261,3.28942507
3.058116232,3.292869021
3.051102204,3.296296958
3.044088176,3.299709439
3.037074148,3.303107025
3.03006012,3.306490275
3.023046092,3.309859747
3.016032064,3.313210206
3.009018036,3.316530888
3.002004008,3.319820893
2.99498998,3.323081258
2.987975952,3.326315433
2.980961924,3.329525356
2.973947896,3.332709856
2.966933868,3.33586716
2.95991984,3.338995497
2.952905812,3.342094631
2.945891784,3.345176119
2.938877756,3.348249957
2.931863727,3.351317704
2.924849699,3.354378413
2.917835671,3.357429851
2.910821643,3.360469785
2.903807615,3.363495983
2.896793587,3.366506211
2.889779559,3.369498238
2.882765531,3.372469829
2.875751503,3.3754182
2.868737475,3.378335253
2.861723447,3.381217005
2.854709419,3.3840617
2.847695391,3.386876267
2.840681363,3.389662584
2.833667335,3.392413275
2.826653307,3.395122668
2.819639279,3.397789781
2.812625251,3.400418678
2.805611222,3.403013343
2.798597194,3.40557737
2.791583166,3.408111752
2.784569138,3.410618918
2.77755511,3.413102606
2.770541082,3.415567102
2.763527054,3.418018188
2.756513026,3.4204594
2.749498998,3.422894024
2.74248497,3.425325345
2.735470942,3.427756648
2.728456914,3.430192178
2.721442886,3.432637486
2.714428858,3.435096901
2.70741483,3.437575127
2.700400802,3.44007348
2.693386774,3.442594295
2.686372745,3.445138464
2.679358717,3.447709628
2.672344689,3.450320717
2.665330661,3.452968634
2.658316633,3.455649183
2.651302605,3.458359062
2.644288577,3.46109376
2.637274549,3.463848198
2.630260521,3.466617299
2.623246493,3.469395987
2.616232465,3.472179184
2.609218437,3.474961814
2.602204409,3.4777388
2.595190381,3.480506018
2.588176353,3.483258803
2.581162325,3.485991743
